slug,title,year,venue,group,category,role,paper_url,project_url,report_path,status,summary,delta_problem,delta_information,delta_objective,delta_compute,delta_evaluation,delta_knowledge,last_verified
cdvae,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,2021,ICLR 2022,A. 生成基础、条件 CSP 与连续模型,生成基础,开山/任务坐标系,https://arxiv.org/abs/2110.06197,https://github.com/txie-93/cdvae,crystal/papers/cdvae.md,已发表；首轮审计基于论文、官方代码与后续评测文献。,以 VAE 潜变量组织组成、晶格和原子数，用周期等变图网络通过退火 Langevin 动力学生成坐标，并建立后来广泛沿用的数据集与评价口径。,2,2,2,1,2,0,2026-09-03
diffcsp,Crystal Structure Prediction by Joint Equivariant Diffusion,2023,NeurIPS 2023,A. 生成基础、条件 CSP 与连续模型,条件 CSP,任务形式化/机制,https://arxiv.org/abs/2309.04475,https://github.com/jiaor17/DiffCSP,crystal/papers/diffcsp.md,已发表；首轮审计基于论文和官方实现。,把给定组成的 CSP 形式化为晶格与分数坐标的联合扩散，并通过周期 E(3) 等变网络处理晶体几何。,2,1,2,1,1,0,2026-09-03
diffcsppp,Space Group Constrained Crystal Generation,2024,ICLR 2024,A. 生成基础、条件 CSP 与连续模型,对称约束,形式化/机制,https://arxiv.org/abs/2402.03992,https://github.com/jiaor17/DiffCSP-PP,crystal/papers/diffcsppp.md,已发表；首轮审计基于论文和官方实现。,将空间群约束分解为晶格对数空间中的基约束与分数坐标的 Wyckoff 位置约束，在 DiffCSP 上实现可控对称生成。,1,2,2,1,1,0,2026-09-03
flowmm,FlowMM: Generating Materials with Riemannian Flow Matching,2024,ICML 2024,A. 生成基础、条件 CSP 与连续模型,生成基础,几何机制,https://arxiv.org/abs/2406.04713,https://github.com/facebookresearch/flowmm,crystal/papers/flowmm.md,已发表；官方仓库已归档但可复现。,把 Riemannian Flow Matching 适配到晶格、周期坐标和元素变量组成的晶体流形，并强调 base distribution 的可设计性与采样效率。,1,2,2,2,1,0,2026-09-03
mattergen,MatterGen: a generative model for inorganic materials design,2023,Nature 2025,A. 生成基础、条件 CSP 与连续模型,逆向设计,系统/规模/验证,https://arxiv.org/abs/2312.03687,https://github.com/microsoft/mattergen,crystal/papers/mattergen.md,已发表；首轮审计区分架构、数据规模、筛选和验证贡献。,联合生成元素、坐标和晶格，并通过 adapter 支持多种性质条件；依靠大规模数据、计算筛选、DFT 与实验验证形成完整材料设计系统。,1,2,2,2,2,1,2026-09-03
omatg,Open Materials Generation with Stochastic Interpolants,2025,ICML 2025,A. 生成基础、条件 CSP 与连续模型,生成基础,统一机制,https://arxiv.org/abs/2502.02582,https://github.com/FERMat-ML/OMatG,crystal/papers/omatg.md,已发表；首轮审计基于论文、官方实现与后续 benchmark 使用。,以 Stochastic Interpolants 统一 flow 与 diffusion，耦合连续坐标/晶格流和离散元素流，并同步改进 CSP 与 de novo 评测。,1,2,2,1,1,0,2026-09-03
crysbfn,A Periodic Bayesian Flow for Material Generation,2025,arXiv 2025,A. 生成基础、条件 CSP 与连续模型,生成基础,概率机制/效率,https://arxiv.org/abs/2502.02016,https://github.com/wu-han-lin/CrysBFN,crystal/papers/crysbfn.md,较新论文；报告中的效率和 SOTA 结论需在统一代码环境复核。,将 Bayesian Flow Network 扩展到周期变量，提出非单调熵动力学与 entropy conditioning，以很少网络前向完成晶体生成。,1,2,2,2,1,0,2026-09-03
symmcd,SymmCD: Symmetry-Preserving Crystal Generation with Diffusion Models,2025,ICLR 2025,B. 对称性、Wyckoff 与离散生成,对称生成,表示/机制,https://arxiv.org/abs/2502.03638,https://github.com/sibasmarak/SymmCD,crystal/papers/symmcd.md,已发表；首轮审计基于论文与官方代码。,把晶体拆成不对称单元和作用于其上的对称变换，联合生成两者，以显式表示真实空间群结构。,1,2,2,1,1,0,2026-09-03
crystaldit,CrystalDiT: A Diffusion Transformer for Crystal Generation,2025,AAAI 2026,A. 生成基础、条件 CSP 与连续模型,de novo 生成,架构/训练策略,https://arxiv.org/abs/2508.16614,https://github.com/hanyi2021/CrystalDiT,crystal/papers/crystaldit.md,已发表；SUN 数字在论文版本与仓库可能有更新，索引以原论文为准。,用统一 Transformer 同时处理晶格与原子变量，加入周期表二维元素编码、平衡训练/选点策略和概率元素解码。,0,1,1,1,1,0,2026-09-03
sbcd,Symmetry-Breaking De Novo Crystal Generation via Markovian Jump Diffusion,2026,arXiv 2026,A. 生成基础、条件 CSP 与连续模型,对称生成,新近机制预印本,https://arxiv.org/abs/2608.13457,,crystal/papers/sbcd.md,2026-08 新预印本；结论暂定，尚需代码和独立复现。,从最低对称先验出发，用 Markovian jump diffusion 显式建模空间群之间的离散跳转，把对称破缺/恢复纳入生成。,1,2,2,0,0,0,2026-09-03
